"","Name","2018Ridership","Rank2018","geometry"
"294","West 8 St-New York Aquarium",2469,383,c(-73.9759578741382, 40.5760338181036)
"295","Wilson Av",4468,311,c(-73.9039586049186, 40.6888665424602)
"296","Winthrop St",7262,205,c(-73.9500793459099, 40.6566593137608)
"297","York St",11032,140,c(-73.9868849999367, 40.6997426676916)
"298","86 St",6007,253,c(-73.9781889993627, 40.5924650008886)
"299","86 St",25455,46,c(-73.9517709096492, 40.7778610433316)
"300","96 St",36026,27,c(-73.972322999157, 40.7939190012147)
"301","96 St",17447,78,c(-73.9510700015425, 40.7856719999861)
"302","96 St",9924,162,c(-73.9646024568717, 40.7916187976701)
"303","96 St",19318,74,c(-73.9470660219183, 40.7842366501777)
"304","Astor Place",16031,86,c(-73.9910699986197, 40.7300540002898)
"305","Bowery",3738,333,c(-73.9938069065424, 40.7202468831473)
"306","Bowling Green",28646,34,c(-74.0140079980343, 40.7049139992808)
"307","Broad St",7050,216,c(-74.0110559999175, 40.706476001106)
"308","Broadway-Lafayette St /Bleecker St",36493,25,c(-73.9962039987605, 40.725296998738)
"309","Brooklyn Bridge-City Hall /Chambers St",30932,32,c(-74.0034067303134, 40.7132337896267)
"310","Canal St",6410,238,c(-74.0062770001748, 40.7228539977878)
"311","Canal St",20424,67,c(-74.0052290023424, 40.7208240000712)
"312","Canal St",47034,17,c(-74.0010547130603, 40.7188142635871)
"313","Cathedral Pkwy-110 St",12526,124,c(-73.9668470005456, 40.8039669996148)
"314","Cathedral Pkwy-110 St",3785,330,c(-73.9580667066136, 40.800581558115)
"315","Central Park North-110 St",8815,174,c(-73.9518220017691, 40.7990749997732)
"316","Chambers St",21303,62,c(-74.0092660017011, 40.7154780001133)
"317","Chambers St /WTC /Park Place",72396,9,c(-74.0085847357013, 40.714111000774)
"318","Christopher St-Sheridan Sq",9675,163,c(-74.0029059985524, 40.7334220010422)
"319","City Hall",6657,230,c(-74.0069858178034, 40.713272331117)
"320","Delancey St /Essex St",24562,49,c(-73.9874094020297, 40.7183060561862)
